epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2308,2.4679,5.2775,2.23189,0.56163,0.0625,0.028,0.01368,2.4203,5.16121,2.53971,6.25e-05,6.25e-05,6.25e-05
2,26.2675,2.21463,4.40868,2.08398,0.61666,0.20833,0.09951,0.05848,2.04548,8.91226,2.21389,0.000136819,0.000136819,0.000136819
3,31.5109,1.87328,3.29901,1.88659,0.49355,0.27083,0.1992,0.13051,1.90033,5.12686,1.91841,0.000210396,0.000210396,0.000210396
4,36.8564,1.73275,2.76957,1.7073,0.62737,0.35417,0.4191,0.27571,1.81719,3.5218,1.82838,0.000283231,0.000283231,0.000283231
5,42.1089,1.61242,2.55531,1.61527,0.6845,0.50439,0.43838,0.26288,1.72623,4.58806,1.58872,0.000355322,0.000355322,0.000355322
6,47.1829,1.62511,2.46609,1.53551,0.64261,0.41667,0.41722,0.23492,2.16057,5.37794,1.79922,0.000426672,0.000426672,0.000426672
7,52.2091,1.55069,2.2883,1.49831,0.50007,0.53307,0.4565,0.27426,2.04721,4.10623,1.77641,0.000497279,0.000497279,0.000497279
8,57.6372,1.5908,2.2105,1.50493,0.3963,0.5625,0.51662,0.19271,2.42115,3.71492,2.18149,0.000567143,0.000567143,0.000567143
9,62.6743,1.5906,2.12501,1.52704,0.44729,0.5625,0.53377,0.30155,2.29187,3.43926,2.19285,0.000636265,0.000636265,0.000636265
10,68.0039,1.61161,2.20103,1.49997,0.59121,0.40829,0.54002,0.32456,2.19266,2.62608,2.06466,0.000704644,0.000704644,0.000704644
11,73.4179,1.58452,2.0459,1.49849,0.3763,0.50908,0.49947,0.30808,1.95569,3.60511,1.89972,0.000772281,0.000772281,0.000772281
12,78.8861,1.43462,1.7575,1.38761,0.52418,0.64583,0.54334,0.2272,1.95646,4.29665,1.99669,0.000839176,0.000839176,0.000839176
13,84.3689,1.46537,1.84627,1.44504,0.53656,0.63329,0.52733,0.2872,2.02301,4.84799,1.90657,0.000905327,0.000905327,0.000905327
14,89.2949,1.53819,1.81841,1.43648,0.49627,0.4375,0.46039,0.26971,1.91136,3.90664,1.96374,0.000970737,0.000970737,0.000970737
15,94.4114,1.42268,1.65665,1.38776,0.55035,0.4375,0.50232,0.23667,2.089,3.71528,2.23085,0.0010354,0.0010354,0.0010354
16,99.6054,1.4951,1.62202,1.38061,0.30391,0.5625,0.42957,0.19724,2.30846,4.25733,2.84442,0.00109933,0.00109933,0.00109933
17,105.007,1.4452,1.64567,1.39869,0.49649,0.53634,0.53303,0.25645,2.23049,5.23551,2.52264,0.001151,0.001151,0.001151
18,110.267,1.52862,1.71265,1.44815,0.18179,0.5,0.33337,0.14398,2.33019,5.02598,2.86447,0.00114481,0.00114481,0.00114481
19,115.372,1.46478,1.6207,1.41844,0.40272,0.39142,0.19314,0.08247,2.52367,4.3397,3.14298,0.00113863,0.00113863,0.00113863
20,120.481,1.43861,1.55083,1.36266,0.4102,0.39583,0.24276,0.05927,2.40062,4.22385,2.75651,0.00113244,0.00113244,0.00113244
21,125.617,1.36487,1.53727,1.35618,0.5335,0.32059,0.33457,0.14544,1.99808,3.58514,2.25827,0.00112625,0.00112625,0.00112625
22,130.904,1.40129,1.58279,1.37045,0.46889,0.44841,0.47103,0.31381,1.95434,6.71513,2.13823,0.00112006,0.00112006,0.00112006
23,136.786,1.52787,1.63201,1.44271,0.3291,0.50538,0.44086,0.28365,1.86438,6.5577,2.04658,0.00111388,0.00111388,0.00111388
24,142.022,1.32056,1.4462,1.30827,0.34927,0.51549,0.48494,0.27724,1.94775,5.69657,1.98329,0.00110769,0.00110769,0.00110769
25,147.225,1.28551,1.43026,1.30429,0.46972,0.61927,0.56792,0.36059,1.67052,3.97191,1.77718,0.0011015,0.0011015,0.0011015
26,152.601,1.42273,1.57395,1.351,0.40993,0.52083,0.49211,0.28296,1.64434,2.8455,1.83875,0.00109531,0.00109531,0.00109531
27,157.547,1.3599,1.46339,1.3529,0.826,0.4764,0.57203,0.36471,1.82756,2.20659,1.96054,0.00108913,0.00108913,0.00108913
28,162.832,1.42301,1.4444,1.33963,0.66906,0.47917,0.44855,0.2319,1.87652,3.44058,2.06778,0.00108294,0.00108294,0.00108294
29,167.821,1.28123,1.27719,1.24293,0.74989,0.47917,0.46597,0.22458,2.02717,2.8839,2.13411,0.00107675,0.00107675,0.00107675
30,173.076,1.32007,1.27994,1.32633,0.85721,0.54262,0.56333,0.3768,1.98827,1.89277,2.02582,0.00107056,0.00107056,0.00107056
31,178.319,1.37878,1.40753,1.35722,0.56248,0.5625,0.49414,0.30112,1.89558,2.35325,1.86849,0.00106437,0.00106437,0.00106437
32,183.768,1.30119,1.27576,1.28905,0.4851,0.64583,0.58038,0.35215,1.9618,2.24997,2.09871,0.00105819,0.00105819,0.00105819
33,188.954,1.28555,1.31762,1.32001,0.59515,0.62828,0.61589,0.34508,1.85874,2.23914,1.97614,0.001052,0.001052,0.001052
34,193.852,1.24241,1.20868,1.26791,0.57983,0.49128,0.47817,0.29739,2.00686,2.4285,2.13458,0.00104581,0.00104581,0.00104581
35,199.005,1.19543,1.23595,1.23173,0.54516,0.64583,0.57502,0.2683,2.00729,2.01016,2.21059,0.00103962,0.00103962,0.00103962
36,204.352,1.2644,1.1503,1.25459,0.71525,0.64583,0.60923,0.38747,1.90796,2.08016,1.89823,0.00103344,0.00103344,0.00103344
