epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.419,2.00583,4.00105,1.95744,0.3791,0.34167,0.25925,0.1732,1.34503,4.03907,1.49401,0.000405983,0.000405983,0.000405983
2,74.4769,1.9189,3.21408,1.8411,0.21449,0.51667,0.19807,0.09734,1.76431,4.33994,1.77804,0.000819392,0.000819392,0.000819392
3,112.033,1.88371,3.25364,1.7514,0.11245,0.42321,0.16923,0.1011,1.47819,8.3083,1.66091,0.0012295,0.0012295,0.0012295
4,150.517,1.91951,3.06921,1.8086,0.44413,0.16667,0.15467,0.09143,1.88902,9.27116,1.9387,0.00123515,0.00123515,0.00123515
5,187.576,1.95345,2.7841,1.87693,0.18562,0.13333,0.08806,0.03625,2.01257,4.09388,2.12041,0.0012302,0.0012302,0.0012302
6,225.214,1.95637,2.79629,1.86792,0.14941,0.125,0.17022,0.07061,2.56488,4.55908,2.57534,0.00122525,0.00122525,0.00122525
7,261.86,1.8946,2.53094,1.80029,0.46514,0.17397,0.21143,0.12972,2.0488,7.67045,2.07583,0.0012203,0.0012203,0.0012203
8,299.138,1.84621,2.5691,1.75629,0.214,0.46667,0.25823,0.13402,1.657,2.67962,1.70457,0.00121535,0.00121535,0.00121535
9,337.86,1.79542,2.32978,1.75729,0.84904,0.175,0.32378,0.1517,1.70942,2.41591,1.89422,0.0012104,0.0012104,0.0012104
10,376.371,1.76515,2.24109,1.77442,0.56543,0.62401,0.52912,0.21188,1.87041,2.03895,1.98692,0.00120545,0.00120545,0.00120545
11,416.118,1.9274,2.38627,1.8545,0.34189,0.50833,0.40931,0.17232,1.67609,2.10796,1.88641,0.0012005,0.0012005,0.0012005
12,454.809,1.78912,2.19585,1.74475,0.6872,0.37667,0.39952,0.21272,1.79649,2.56974,2.07209,0.00119555,0.00119555,0.00119555
13,494.026,1.72536,2.05239,1.6831,0.4253,0.71598,0.56333,0.29673,1.43028,1.7369,1.53715,0.0011906,0.0011906,0.0011906
14,532.476,1.72988,2.02938,1.6981,0.49191,0.596,0.51113,0.27219,1.49885,1.635,1.57859,0.00118565,0.00118565,0.00118565
15,569.819,1.6841,2.00069,1.66988,0.71941,0.39167,0.44089,0.25779,1.65684,1.74908,1.68353,0.0011807,0.0011807,0.0011807
16,606.775,1.62872,1.83377,1.64393,0.55986,0.54727,0.56018,0.34995,1.5473,1.85648,1.73038,0.00117575,0.00117575,0.00117575
17,644.333,1.58438,1.83694,1.60392,0.62668,0.64167,0.70345,0.32687,1.61085,1.51713,1.80559,0.0011708,0.0011708,0.0011708
18,681.477,1.64566,1.88651,1.658,0.78494,0.73333,0.82873,0.47063,1.36914,1.29069,1.46051,0.00116585,0.00116585,0.00116585
19,719.34,1.60093,1.80072,1.58709,0.6581,0.62823,0.63216,0.34593,1.39983,1.57927,1.49984,0.0011609,0.0011609,0.0011609
20,757.946,1.50267,1.71863,1.5255,0.55012,0.58223,0.59557,0.36854,1.49017,1.47654,1.57233,0.00115595,0.00115595,0.00115595
21,797.038,1.46609,1.62204,1.51994,0.84228,0.4,0.66888,0.43106,1.36806,1.52286,1.48651,0.001151,0.001151,0.001151
22,837.755,1.48275,1.62077,1.51137,0.54274,0.73293,0.69521,0.42358,1.41614,1.4066,1.44284,0.00114605,0.00114605,0.00114605
23,877.428,1.59769,1.78122,1.61664,0.58018,0.66544,0.71046,0.46422,1.39237,1.58905,1.48443,0.0011411,0.0011411,0.0011411
24,918.001,1.48227,1.63067,1.53568,0.74228,0.59354,0.57214,0.3436,1.33941,1.53092,1.44937,0.00113615,0.00113615,0.00113615
25,959.371,1.47667,1.62837,1.51562,0.82098,0.59061,0.57405,0.34928,1.43993,1.60263,1.53039,0.0011312,0.0011312,0.0011312
26,998.704,1.4606,1.5613,1.48272,0.87722,0.53614,0.672,0.41448,1.33686,1.26335,1.4984,0.00112625,0.00112625,0.00112625
27,1035.84,1.46608,1.61091,1.5154,0.78331,0.64167,0.71265,0.48889,1.41812,1.39927,1.49683,0.0011213,0.0011213,0.0011213
28,1076.72,1.43968,1.67591,1.54162,0.82933,0.61859,0.75622,0.51731,1.49674,1.28161,1.60141,0.00111635,0.00111635,0.00111635
29,1110.7,1.48154,1.59556,1.53754,0.79773,0.63847,0.76861,0.46364,1.49814,1.31732,1.49937,0.0011114,0.0011114,0.0011114
30,1133.15,1.36637,1.48353,1.45383,0.84644,0.74772,0.81161,0.48052,1.37704,1.35854,1.46854,0.00110645,0.00110645,0.00110645
31,1155.27,1.34644,1.47183,1.44026,0.78867,0.63857,0.79593,0.50597,1.33901,1.28977,1.51273,0.0011015,0.0011015,0.0011015
32,1177.53,1.42192,1.56099,1.48209,0.61089,0.55967,0.76137,0.49554,1.4318,1.51838,1.56628,0.00109655,0.00109655,0.00109655
33,1199.9,1.40659,1.46146,1.44126,0.62914,0.6,0.65082,0.44418,1.29686,1.42173,1.4414,0.0010916,0.0010916,0.0010916
34,1222.92,1.43007,1.47526,1.49231,0.88741,0.54556,0.70594,0.50261,1.23699,1.40704,1.47025,0.00108665,0.00108665,0.00108665
35,1245.64,1.37017,1.3852,1.43714,0.86477,0.63381,0.71146,0.49962,1.18575,1.21286,1.40778,0.0010817,0.0010817,0.0010817
36,1267.97,1.33988,1.41094,1.40792,0.83964,0.72023,0.78781,0.54224,1.31101,1.30418,1.45287,0.00107675,0.00107675,0.00107675
