epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1093,2.41194,4.639,2.26018,0.24459,0.22917,0.12725,0.0659,2.05666,8.01316,2.11622,0.0001875,0.0001875,0.0001875
2,36.4224,1.61549,2.96119,1.60801,0.32066,0.26747,0.28627,0.12105,1.93288,4.88936,2.06261,0.000385582,0.000385582,0.000385582
3,55.3053,1.76457,3.04061,1.67396,0.45078,0.14583,0.14324,0.07597,2.08806,4.19995,2.16445,0.000581684,0.000581684,0.000581684
4,75.3482,1.82125,2.95285,1.70026,0.55945,0.14583,0.14943,0.0868,2.20552,9.86183,2.18283,0.000775806,0.000775806,0.000775806
5,95.7037,1.76303,2.77704,1.6351,0.10418,0.70833,0.34671,0.17227,2.04183,6.54703,2.01124,0.000967947,0.000967947,0.000967947
6,114.532,1.70914,2.5657,1.55614,0.41598,0.62606,0.41233,0.25507,1.89663,7.46365,1.7723,0.00115811,0.00115811,0.00115811
7,132.072,1.75206,2.68837,1.60562,0.31267,0.45878,0.36237,0.18226,2.52918,5.19057,2.66577,0.00121287,0.00121287,0.00121287
8,151.386,1.76277,2.70092,1.55115,0.31687,0.35417,0.38663,0.2148,1.98153,3.42553,1.994,0.00120669,0.00120669,0.00120669
9,171.419,1.71408,2.46382,1.55487,0.11535,0.5,0.24873,0.11348,1.85447,3.9564,2.09644,0.0012005,0.0012005,0.0012005
10,189.763,1.78122,2.36186,1.60392,0.82329,0.16667,0.118,0.05665,2.10727,5.6259,2.36186,0.00119431,0.00119431,0.00119431
11,207.688,1.70813,2.44178,1.55906,0.12836,0.52083,0.20406,0.089,1.96581,3.83171,2.39792,0.00118812,0.00118812,0.00118812
12,225.271,1.65325,2.26714,1.53492,0.39876,0.375,0.34027,0.18021,1.90674,3.59237,2.07678,0.00118194,0.00118194,0.00118194
13,243.615,1.56881,2.03399,1.39952,0.75568,0.14583,0.21765,0.08092,2.17162,6.47345,2.34365,0.00117575,0.00117575,0.00117575
14,263.824,1.63581,2.08595,1.50047,0.23719,0.4375,0.48275,0.20929,1.99009,2.91622,2.03408,0.00116956,0.00116956,0.00116956
15,284.001,1.58276,1.98902,1.47485,0.51879,0.52083,0.51419,0.33676,1.78932,2.302,1.80719,0.00116337,0.00116337,0.00116337
16,301.724,1.62448,2.094,1.50928,0.67772,0.35417,0.35778,0.23676,1.79734,2.35172,1.66948,0.00115719,0.00115719,0.00115719
17,320.775,1.5398,1.92323,1.43345,0.2986,0.5625,0.48152,0.26575,2.17244,3.01747,2.13208,0.001151,0.001151,0.001151
18,341.554,1.57856,1.8971,1.45334,0.54028,0.58333,0.46287,0.24197,2.20418,2.7543,2.14368,0.00114481,0.00114481,0.00114481
19,362.23,1.57076,1.92811,1.45318,0.67185,0.64583,0.6578,0.34865,2.01273,1.83909,1.92383,0.00113863,0.00113863,0.00113863
20,382.091,1.56868,1.92899,1.4468,0.60975,0.64147,0.67673,0.36688,1.80038,2.02505,1.667,0.00113244,0.00113244,0.00113244
