epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8898,2.04555,3.47879,1.95991,0.29311,0.28524,0.19988,0.11226,1.77117,6.33099,1.92114,0.0807077,0.000194872,0.000194872
2,77.8271,1.78944,2.54303,1.72852,0.35756,0.47107,0.33884,0.19282,1.56354,3.4582,1.57614,0.0609064,0.000393556,0.000393556
3,116.632,1.71827,2.21245,1.60654,0.58163,0.39968,0.46862,0.29091,1.54519,2.54263,1.6042,0.0411037,0.000590906,0.000590906
4,173.067,1.66233,2.05766,1.58031,0.68861,0.4347,0.53616,0.30708,1.60166,2.00966,1.64538,0.0212997,0.000786923,0.000786923
5,243.123,1.5839,1.96719,1.54764,0.63722,0.54164,0.57638,0.32659,1.53619,1.82824,1.60826,0.00149443,0.000981607,0.000981607
6,314.179,1.61356,1.91829,1.60919,0.69959,0.50603,0.60429,0.34242,1.49209,1.84542,1.5678,0.000983334,0.000983334,0.000983334
7,382.972,1.55196,1.77988,1.52743,0.70091,0.68722,0.71219,0.41992,1.43694,1.48357,1.53028,0.00098,0.00098,0.00098
8,450.885,1.55531,1.71902,1.53125,0.76779,0.54851,0.68569,0.3909,1.42991,1.59715,1.52482,0.000976667,0.000976667,0.000976667
9,517.105,1.50388,1.59445,1.47283,0.7249,0.52796,0.64909,0.36302,1.44752,1.50538,1.51825,0.000973334,0.000973334,0.000973334
10,585.446,1.43891,1.56135,1.45119,0.70356,0.63343,0.69076,0.39775,1.42203,1.46363,1.50655,0.00097,0.00097,0.00097
11,653.226,1.48176,1.57917,1.46794,0.78121,0.58453,0.70449,0.39787,1.43321,1.42592,1.47944,0.000966667,0.000966667,0.000966667
12,721.39,1.37286,1.43443,1.41369,0.7713,0.55676,0.69846,0.38606,1.48179,1.36654,1.58093,0.000963334,0.000963334,0.000963334
13,789.386,1.40921,1.44692,1.44697,0.66195,0.60803,0.69264,0.38876,1.36024,1.44971,1.47876,0.00096,0.00096,0.00096
14,857.168,1.37342,1.42393,1.40777,0.68639,0.63516,0.70299,0.39757,1.41559,1.31271,1.53185,0.000956667,0.000956667,0.000956667
15,926.103,1.32613,1.30952,1.36701,0.64399,0.68038,0.70647,0.39951,1.41616,1.34934,1.4994,0.000953334,0.000953334,0.000953334
16,993.398,1.32035,1.33398,1.35743,0.62758,0.63827,0.69095,0.38434,1.49426,1.35177,1.593,0.00095,0.00095,0.00095
17,1055.09,1.33777,1.31612,1.37093,0.69718,0.62866,0.68456,0.40619,1.43861,1.43231,1.52401,0.000946667,0.000946667,0.000946667
18,1123.46,1.25376,1.2362,1.3172,0.74013,0.61301,0.71729,0.42874,1.4648,1.37983,1.50061,0.000943334,0.000943334,0.000943334
19,1191.59,1.23935,1.248,1.31525,0.71184,0.71153,0.75481,0.45278,1.35755,1.30013,1.4785,0.000940001,0.000940001,0.000940001
20,1259.6,1.22487,1.16281,1.30829,0.6634,0.73084,0.73394,0.43947,1.33563,1.31597,1.41404,0.000936667,0.000936667,0.000936667
21,1327.2,1.21663,1.15087,1.31447,0.70178,0.59539,0.70666,0.41889,1.37627,1.36853,1.47395,0.000933334,0.000933334,0.000933334
22,1394.55,1.20872,1.15055,1.28504,0.77097,0.71611,0.80081,0.50454,1.30348,1.16289,1.40012,0.000930001,0.000930001,0.000930001
23,1462.35,1.20346,1.09967,1.28077,0.81305,0.67295,0.77637,0.49627,1.28688,1.15008,1.38459,0.000926667,0.000926667,0.000926667
24,1529.49,1.16079,1.08807,1.2598,0.77817,0.66684,0.7623,0.46143,1.36265,1.21797,1.42942,0.000923334,0.000923334,0.000923334
25,1598.71,1.17217,1.09314,1.27735,0.70381,0.68471,0.76271,0.4473,1.37637,1.22792,1.46328,0.000920001,0.000920001,0.000920001
26,1666.26,1.16681,1.06685,1.2694,0.7091,0.7052,0.70862,0.43322,1.38814,1.28805,1.43566,0.000916667,0.000916667,0.000916667
27,1734.84,1.11094,1.01381,1.2437,0.6432,0.70996,0.72886,0.45112,1.36274,1.28414,1.42712,0.000913334,0.000913334,0.000913334
28,1802.85,1.10441,1.00839,1.23526,0.67993,0.69494,0.70641,0.43505,1.41051,1.34871,1.47971,0.000910001,0.000910001,0.000910001
29,1871.64,1.12122,1.01351,1.2482,0.77831,0.63672,0.71988,0.43602,1.39043,1.2813,1.48485,0.000906668,0.000906668,0.000906668
