epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.212,1.97623,4.14299,1.91285,0.62586,0.25833,0.30907,0.23568,1.50186,4.99774,1.63373,0.0003125,0.0003125,0.0003125
2,69.1891,1.87755,3.0473,1.76564,0.16743,0.35,0.19564,0.05696,1.6674,10.1379,1.81461,0.000634976,0.000634976,0.000634976
3,103.511,1.74676,2.66285,1.68759,0.17061,0.55438,0.32296,0.13066,1.63389,6.02432,1.71888,0.000954877,0.000954877,0.000954877
4,137.139,1.83223,2.65304,1.73143,0.86746,0.24979,0.32193,0.14471,1.38153,4.38784,1.8068,0.00123515,0.00123515,0.00123515
5,171.672,1.8083,2.54298,1.71234,0.23873,0.35183,0.25246,0.12168,1.5084,5.53864,1.67069,0.0012302,0.0012302,0.0012302
6,206.881,1.73559,2.36211,1.66286,0.62029,0.29167,0.38918,0.16335,2.00997,5.74446,2.13755,0.00122525,0.00122525,0.00122525
7,241.483,1.76329,2.2381,1.65235,0.46809,0.35204,0.34786,0.19381,1.63012,2.89841,1.84497,0.0012203,0.0012203,0.0012203
8,276.373,1.71767,2.21845,1.65733,0.3502,0.44368,0.39354,0.20905,1.6266,2.56287,1.8196,0.00121535,0.00121535,0.00121535
9,311.259,1.6527,2.09028,1.61648,0.80449,0.34167,0.45652,0.2722,1.57811,2.14048,1.77657,0.0012104,0.0012104,0.0012104
10,346.837,1.67598,2.00659,1.64112,0.56425,0.64167,0.60285,0.34483,1.59768,2.24435,1.71391,0.00120545,0.00120545,0.00120545
11,383.159,1.72068,1.96189,1.65004,0.5812,0.723,0.64569,0.37554,1.54171,2.41256,1.59909,0.0012005,0.0012005,0.0012005
12,421.209,1.73697,1.92317,1.65153,0.58287,0.62197,0.66171,0.3995,1.48081,1.71309,1.49808,0.00119555,0.00119555,0.00119555
13,458.838,1.69345,1.93015,1.64861,0.82857,0.47114,0.70277,0.45487,1.43489,1.62157,1.64012,0.0011906,0.0011906,0.0011906
14,495.601,1.57791,1.72412,1.55694,0.81612,0.49507,0.63755,0.38805,1.38496,1.81686,1.5675,0.00118565,0.00118565,0.00118565
15,529.783,1.57495,1.80059,1.53279,0.65557,0.60833,0.60487,0.38384,1.28628,1.69781,1.42899,0.0011807,0.0011807,0.0011807
16,565.788,1.46162,1.72419,1.48116,0.57136,0.74125,0.64547,0.3767,1.34101,1.62956,1.47688,0.00117575,0.00117575,0.00117575
17,601.554,1.52263,1.71302,1.50648,0.5783,0.60779,0.61438,0.37621,1.34086,1.56953,1.47948,0.0011708,0.0011708,0.0011708
18,637.371,1.54649,1.74797,1.53592,0.54463,0.64167,0.60861,0.37867,1.43293,1.47094,1.53638,0.00116585,0.00116585,0.00116585
19,671.633,1.48557,1.62982,1.49886,0.61877,0.73333,0.74753,0.44218,1.46829,1.50798,1.57403,0.0011609,0.0011609,0.0011609
20,707.543,1.46404,1.5386,1.47532,0.66498,0.60639,0.60692,0.37671,1.61829,1.77889,1.65604,0.00115595,0.00115595,0.00115595
21,743.136,1.42748,1.50131,1.42015,0.81431,0.75566,0.77668,0.45955,1.25926,1.46386,1.46659,0.001151,0.001151,0.001151
22,779.284,1.4722,1.5489,1.48351,0.88584,0.80496,0.81053,0.48005,1.58096,1.51354,1.85416,0.00114605,0.00114605,0.00114605
23,814.579,1.50475,1.61208,1.49964,0.63543,0.84572,0.77735,0.45233,1.55633,1.54794,1.78442,0.0011411,0.0011411,0.0011411
24,850.311,1.41969,1.50222,1.45933,0.83376,0.52668,0.66735,0.43311,1.30856,1.62434,1.41299,0.00113615,0.00113615,0.00113615
25,887.674,1.52652,1.60267,1.50837,0.77991,0.58294,0.66596,0.46897,1.37768,1.38396,1.48653,0.0011312,0.0011312,0.0011312
