epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3962,2.36937,4.61127,2.24985,0.63654,0.14583,0.13529,0.08747,2.45736,13.0507,2.36161,0.0002875,0.0002875,0.0002875
2,26.6863,1.90803,3.34093,1.79639,0.2135,0.14583,0.17671,0.11642,1.84254,4.6118,1.80997,0.000581684,0.000581684,0.000581684
3,48.843,1.86366,3.13982,1.72713,0.22924,0.35417,0.28456,0.08497,2.315,12.176,2.04311,0.000869928,0.000869928,0.000869928
4,70.2714,1.9071,3.17435,1.7565,0.40235,0.21361,0.1437,0.09561,2.15352,4.82816,2.08717,0.00115223,0.00115223,0.00115223
5,91.0042,1.86065,3.08891,1.72478,0.33387,0.14583,0.06943,0.04328,1.8699,8.7299,1.6342,0.0012005,0.0012005,0.0012005
6,113.349,1.8943,3.00002,1.67247,0.01988,0.20833,0.02504,0.01177,2.19624,3.9328,1.75026,0.00118812,0.00118812,0.00118812
7,135.669,1.9272,2.94981,1.75663,0.06418,0.29167,0.10185,0.06587,1.67756,3.55555,1.61218,0.00117575,0.00117575,0.00117575
8,158.021,1.79342,2.85153,1.69084,0.12516,0.08333,0.14392,0.09327,1.82988,3.09055,1.77606,0.00116337,0.00116337,0.00116337
9,179.83,1.82146,2.8695,1.66501,0.69943,0.1586,0.21597,0.05132,1.55861,4.17205,1.59696,0.001151,0.001151,0.001151
10,200.566,1.79538,2.73877,1.60767,0.7159,0.20833,0.25017,0.0845,1.40676,2.6815,1.41294,0.00113863,0.00113863,0.00113863
11,220.607,1.73798,2.63884,1.61642,0.15844,0.4375,0.24119,0.12564,1.46737,2.48531,1.3327,0.00112625,0.00112625,0.00112625
12,241.879,1.76175,2.5943,1.64798,0.10383,0.44245,0.26922,0.12374,1.54698,2.9429,1.3649,0.00111388,0.00111388,0.00111388
13,263.875,1.64139,2.45728,1.59141,0.45193,0.5,0.25792,0.10743,2.01742,3.07535,1.66438,0.0011015,0.0011015,0.0011015
14,285.121,1.71273,2.5213,1.63998,0.27637,0.48892,0.28388,0.14063,2.07546,2.51923,1.73991,0.00108913,0.00108913,0.00108913
15,306.46,1.57575,2.32848,1.58472,0.35093,0.35382,0.32816,0.1771,1.94126,2.66663,1.75373,0.00107675,0.00107675,0.00107675
16,328.059,1.62212,2.2732,1.58711,0.58459,0.35927,0.37162,0.17195,1.83645,2.82634,1.6737,0.00106437,0.00106437,0.00106437
17,347.394,1.59032,2.28017,1.61848,0.2981,0.46911,0.30868,0.18367,1.5352,2.23753,1.51816,0.001052,0.001052,0.001052
18,369.485,1.64292,2.35322,1.62613,0.37667,0.42573,0.39472,0.22645,1.52766,2.02116,1.37134,0.00103962,0.00103962,0.00103962
19,390.698,1.66832,2.21005,1.61665,0.35746,0.61298,0.51026,0.3108,1.58023,1.95795,1.41269,0.00102725,0.00102725,0.00102725
20,411.448,1.55085,2.09808,1.50231,0.4318,0.63298,0.46758,0.29544,1.60897,1.84822,1.43888,0.00101488,0.00101488,0.00101488
21,432.887,1.56713,2.10838,1.53909,0.50052,0.62076,0.60495,0.29417,1.62121,1.73154,1.49006,0.0010025,0.0010025,0.0010025
22,455.005,1.65442,2.03309,1.56694,0.76885,0.625,0.64016,0.32351,1.62589,1.82037,1.49578,0.000990125,0.000990125,0.000990125
23,476.238,1.54949,2.0219,1.50689,0.55615,0.4375,0.49598,0.34555,1.59255,1.96043,1.56789,0.00097775,0.00097775,0.00097775
24,498.874,1.63165,2.1309,1.57621,0.70422,0.48951,0.51833,0.3689,1.45222,1.95555,1.46069,0.000965375,0.000965375,0.000965375
25,520.216,1.606,2.04749,1.52097,0.69469,0.63555,0.64184,0.35964,1.49146,1.85751,1.42378,0.000953,0.000953,0.000953
26,541.724,1.46882,1.83236,1.46985,0.55854,0.62934,0.59414,0.31566,1.52056,2.00486,1.48697,0.000940625,0.000940625,0.000940625
27,564.49,1.47705,2.01643,1.50894,0.67106,0.63696,0.59508,0.35191,1.54278,1.75274,1.49477,0.00092825,0.00092825,0.00092825
28,586.992,1.44799,1.78434,1.4237,0.65456,0.5625,0.57753,0.35543,1.51754,1.93656,1.45056,0.000915875,0.000915875,0.000915875
29,608.497,1.45022,1.84469,1.44913,0.62638,0.63006,0.68119,0.44547,1.47052,1.92809,1.45084,0.0009035,0.0009035,0.0009035
30,630.719,1.44805,1.82004,1.46656,0.77602,0.62803,0.65902,0.45634,1.65845,1.79921,1.58422,0.000891125,0.000891125,0.000891125
31,652.191,1.46116,1.72644,1.47336,0.67259,0.54691,0.58392,0.31507,1.75494,1.51991,1.6542,0.00087875,0.00087875,0.00087875
32,673.738,1.41792,1.67669,1.4034,0.5534,0.66744,0.64355,0.36009,1.63382,1.51029,1.56287,0.000866375,0.000866375,0.000866375
33,695.972,1.43959,1.67721,1.42066,0.72164,0.64583,0.6583,0.40171,1.47407,1.64127,1.39559,0.000854,0.000854,0.000854
34,718.215,1.42697,1.76041,1.48052,0.59123,0.62594,0.67744,0.36394,1.2859,1.55881,1.31886,0.000841625,0.000841625,0.000841625
35,742.852,1.40354,1.71712,1.42794,0.77928,0.63596,0.69272,0.46827,1.19974,1.41195,1.3464,0.00082925,0.00082925,0.00082925
36,764.801,1.34885,1.54228,1.34781,0.76788,0.64537,0.70875,0.47335,1.23157,1.37589,1.32771,0.000816875,0.000816875,0.000816875
37,785.585,1.28949,1.44716,1.34307,0.6762,0.64117,0.70679,0.45872,1.42606,1.55081,1.46802,0.0008045,0.0008045,0.0008045
38,808.145,1.38055,1.51342,1.39463,0.63821,0.69723,0.71477,0.41645,1.48203,1.58106,1.43866,0.000792125,0.000792125,0.000792125
39,829.397,1.31372,1.37704,1.33112,0.68508,0.61857,0.67335,0.38351,1.45983,2.09014,1.44625,0.00077975,0.00077975,0.00077975
40,852,1.31337,1.47311,1.36297,0.80163,0.63833,0.66603,0.42124,1.37928,1.55173,1.4238,0.000767375,0.000767375,0.000767375
41,874.34,1.29791,1.5073,1.3482,0.76338,0.58576,0.68099,0.45048,1.36195,1.38759,1.49886,0.000755,0.000755,0.000755
42,896.238,1.24753,1.32038,1.3465,0.59659,0.64583,0.65272,0.43587,1.395,1.37516,1.57098,0.000742625,0.000742625,0.000742625
43,918.352,1.3154,1.44488,1.37254,0.64804,0.57427,0.63307,0.40861,1.54272,1.74447,1.55281,0.00073025,0.00073025,0.00073025
44,940.08,1.29991,1.42659,1.33423,0.61793,0.63165,0.68812,0.44257,1.52422,1.70882,1.51168,0.000717875,0.000717875,0.000717875
45,963.158,1.22256,1.32623,1.29115,0.80597,0.71834,0.75961,0.41386,1.59452,1.3842,1.49744,0.0007055,0.0007055,0.0007055
46,984.928,1.28404,1.38064,1.34061,0.82304,0.7197,0.78831,0.41654,1.70827,1.35753,1.54383,0.000693125,0.000693125,0.000693125
47,1007.4,1.23668,1.28951,1.27275,0.79444,0.64583,0.73197,0.47125,1.54436,1.37461,1.42419,0.00068075,0.00068075,0.00068075
48,1028.36,1.19324,1.42032,1.30308,0.79034,0.64583,0.74832,0.4605,1.57843,1.33175,1.5149,0.000668375,0.000668375,0.000668375
49,1049.89,1.21543,1.33954,1.30869,0.70901,0.63587,0.72124,0.45511,1.46136,1.21989,1.41975,0.000656,0.000656,0.000656
50,1070.39,1.18501,1.31202,1.28539,0.68439,0.64105,0.72729,0.45622,1.37018,1.17258,1.36701,0.000643625,0.000643625,0.000643625
51,1092,1.15123,1.1892,1.24857,0.75437,0.64583,0.72036,0.47706,1.40676,1.18033,1.36128,0.00063125,0.00063125,0.00063125
52,1115.06,1.16828,1.21748,1.26151,0.71557,0.63437,0.74407,0.4327,1.57609,1.19439,1.46597,0.000618875,0.000618875,0.000618875
53,1137.34,1.15173,1.23118,1.2545,0.74225,0.6332,0.70205,0.41943,1.63258,1.45615,1.58144,0.0006065,0.0006065,0.0006065
54,1159.05,1.10064,1.14103,1.22227,0.77166,0.63746,0.68209,0.43647,1.55249,1.27569,1.47951,0.000594125,0.000594125,0.000594125
55,1179.88,1.19034,1.22516,1.26585,0.78094,0.64583,0.69245,0.44053,1.44753,1.10672,1.49839,0.00058175,0.00058175,0.00058175
56,1202.57,1.11807,1.09554,1.24388,0.77205,0.62749,0.68727,0.43005,1.40258,1.06628,1.53218,0.000569375,0.000569375,0.000569375
57,1224.8,1.15595,1.22295,1.27629,0.55295,0.64583,0.62419,0.40028,1.47184,1.11498,1.59874,0.000557,0.000557,0.000557
58,1246.57,1.14853,1.21884,1.29024,0.75493,0.50473,0.64214,0.39522,1.52112,1.12072,1.60871,0.000544625,0.000544625,0.000544625
59,1269.21,1.10805,1.15795,1.25016,0.78406,0.63611,0.67379,0.46272,1.46583,1.28189,1.50342,0.00053225,0.00053225,0.00053225
60,1291.05,1.14928,1.13965,1.26705,0.77745,0.63829,0.67598,0.4678,1.38931,1.12269,1.49415,0.000519875,0.000519875,0.000519875
61,1313.15,1.1374,1.14536,1.26605,0.82235,0.64119,0.67813,0.45217,1.48057,1.09729,1.57804,0.0005075,0.0005075,0.0005075
62,1331.74,1.05526,1.07055,1.21854,0.86762,0.64583,0.66738,0.40271,1.56236,1.16579,1.60757,0.000495125,0.000495125,0.000495125
63,1349.93,1.06982,1.14384,1.23301,0.81574,0.63341,0.67631,0.43638,1.53081,1.09025,1.56347,0.00048275,0.00048275,0.00048275
64,1371.59,1.05822,1.11952,1.20134,0.79484,0.66879,0.77771,0.46747,1.5415,1.07196,1.61595,0.000470375,0.000470375,0.000470375
65,1393.66,1.0331,1.12384,1.20395,0.72366,0.71639,0.78043,0.46919,1.48195,1.10203,1.56122,0.000458,0.000458,0.000458
66,1416.59,1.10998,1.13225,1.2612,0.74164,0.71594,0.76791,0.47724,1.50444,1.10577,1.55716,0.000445625,0.000445625,0.000445625
67,1438.7,1.02843,1.09075,1.19103,0.75641,0.72113,0.75592,0.45626,1.54856,1.16595,1.51582,0.00043325,0.00043325,0.00043325
68,1459.5,0.98902,1.04784,1.17388,0.7585,0.72037,0.75002,0.44903,1.61825,1.14318,1.56956,0.000420875,0.000420875,0.000420875
69,1481.42,1.03489,1.07206,1.17122,0.74916,0.64583,0.71653,0.45723,1.61738,1.11272,1.60358,0.0004085,0.0004085,0.0004085
70,1503.65,0.98986,0.95975,1.17344,0.75028,0.64551,0.68996,0.48423,1.59803,1.10017,1.62713,0.000396125,0.000396125,0.000396125
71,1524.5,0.96999,1.01236,1.17523,0.77919,0.64583,0.69112,0.48125,1.55582,1.14609,1.61979,0.00038375,0.00038375,0.00038375
72,1546.19,1.0387,1.0835,1.20556,0.77662,0.64583,0.69036,0.48563,1.56619,1.17513,1.57731,0.000371375,0.000371375,0.000371375
73,1568.89,1.01761,0.95163,1.19522,0.79807,0.64583,0.67582,0.46167,1.55998,1.22101,1.52759,0.000359,0.000359,0.000359
74,1590.5,0.94456,0.99496,1.14809,0.80468,0.68531,0.69567,0.3943,1.56334,1.20676,1.50972,0.000346625,0.000346625,0.000346625
75,1612.06,0.94178,0.93976,1.13997,0.79541,0.66196,0.72983,0.41426,1.54686,1.16206,1.50318,0.00033425,0.00033425,0.00033425
76,1634.56,0.9978,0.98972,1.16167,0.78967,0.65487,0.72555,0.44412,1.53057,1.12635,1.52769,0.000321875,0.000321875,0.000321875
77,1656.47,0.93958,0.95182,1.14404,0.80486,0.65485,0.72711,0.42356,1.5557,1.12817,1.58107,0.0003095,0.0003095,0.0003095
78,1678.68,0.9064,0.94387,1.13365,0.79754,0.65892,0.73292,0.42733,1.53694,1.10666,1.59193,0.000297125,0.000297125,0.000297125
79,1700.57,0.99065,1.02935,1.19008,0.80309,0.65361,0.73768,0.44626,1.49062,1.02936,1.54715,0.00028475,0.00028475,0.00028475
80,1715.4,0.93368,0.89645,1.15364,0.8028,0.65908,0.72908,0.41758,1.50549,1.00041,1.56526,0.000272375,0.000272375,0.000272375
81,1733.52,0.95925,0.93069,1.14137,0.8073,0.70833,0.73075,0.44558,1.57126,0.9905,1.66593,0.00026,0.00026,0.00026
82,1754.84,0.93015,0.9293,1.18723,0.8203,0.70833,0.72505,0.44401,1.60308,0.97907,1.692,0.000247625,0.000247625,0.000247625
83,1775.86,0.88818,0.88218,1.1232,0.82601,0.70833,0.72075,0.46395,1.57311,1.00066,1.63186,0.00023525,0.00023525,0.00023525
84,1797.11,1.01072,0.98642,1.19416,0.81372,0.70352,0.70529,0.47285,1.54304,1.01134,1.56837,0.000222875,0.000222875,0.000222875
85,1818.79,0.90141,0.87188,1.11725,0.80597,0.70044,0.70024,0.48075,1.47543,0.99031,1.48103,0.0002105,0.0002105,0.0002105
86,1839.62,0.93369,0.96985,1.15874,0.8028,0.6996,0.70304,0.47782,1.42888,0.97802,1.45676,0.000198125,0.000198125,0.000198125
87,1860.77,0.89969,0.87582,1.11709,0.82381,0.67539,0.70499,0.48505,1.36473,0.98042,1.42533,0.00018575,0.00018575,0.00018575
88,1883,0.85368,0.83473,1.11223,0.82342,0.67515,0.705,0.48475,1.33387,0.98357,1.42238,0.000173375,0.000173375,0.000173375
89,1904.37,0.87296,0.85285,1.1276,0.81349,0.68676,0.70496,0.4802,1.34382,0.99473,1.44399,0.000161,0.000161,0.000161
90,1924.78,0.87516,0.80926,1.09927,0.81771,0.67503,0.7051,0.48144,1.36756,0.98995,1.46292,0.000148625,0.000148625,0.000148625
91,1945.96,0.70823,0.62713,1.03857,0.79487,0.68901,0.72694,0.49111,1.41748,0.98061,1.48628,0.00013625,0.00013625,0.00013625
92,1966.96,0.73796,0.63588,1.05884,0.79655,0.75397,0.75946,0.49758,1.40536,0.98504,1.46923,0.000123875,0.000123875,0.000123875
93,1986.57,0.78588,0.64103,1.05892,0.7758,0.76271,0.76196,0.4911,1.41025,0.99676,1.47553,0.0001115,0.0001115,0.0001115
94,1998.53,0.7038,0.60879,1.03741,0.77362,0.76463,0.75942,0.47442,1.44961,1.01904,1.49376,9.9125e-05,9.9125e-05,9.9125e-05
95,2010.66,0.69082,0.61987,1.00543,0.7482,0.78228,0.76828,0.47945,1.47017,1.06141,1.48352,8.675e-05,8.675e-05,8.675e-05
96,2022.67,0.69884,0.60619,1.04015,0.76226,0.77554,0.76925,0.47828,1.48271,1.06084,1.49912,7.4375e-05,7.4375e-05,7.4375e-05
97,2034.74,0.69669,0.57948,1.00334,0.73723,0.76769,0.77658,0.4876,1.49307,1.06449,1.48544,6.2e-05,6.2e-05,6.2e-05
98,2046.41,0.64817,0.54,0.99563,0.73255,0.75487,0.77812,0.51055,1.48413,1.04949,1.4852,4.9625e-05,4.9625e-05,4.9625e-05
