epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9425,2.31975,7.66505,2.30467,0.08162,0.2642,0.05511,0.01828,2.13005,8.34229,2.5916,0.0002875,0.0002875,0.0002875
2,38.6507,2.0254,4.14293,1.99178,0.62238,0.24515,0.06449,0.01959,2.7223,12.6236,3.53618,0.000584592,0.000584592,0.000584592
3,61.6998,2.03335,3.76794,2.01756,0.31573,0.20833,0.06792,0.03018,2.19021,16.1907,2.49061,0.000878714,0.000878714,0.000878714
4,85.2647,1.89113,3.49933,1.86413,0.26589,0.14583,0.01213,0.00554,2.17138,7.34685,2.38238,0.00116987,0.00116987,0.00116987
5,107.457,1.92117,3.48751,1.96588,0.51122,0.0625,0.01988,0.00478,2.90141,5.42496,3.23895,0.00122525,0.00122525,0.00122525
6,130.726,1.89357,3.44822,1.92675,0.50806,0.0625,0.01502,0.00743,1.92467,6.51299,2.34814,0.00121906,0.00121906,0.00121906
7,153.307,1.89381,3.34206,1.88083,0.26736,0.1875,0.02206,0.01024,1.86869,12.3247,2.2331,0.00121287,0.00121287,0.00121287
8,177.49,1.97399,3.23824,1.98383,0.51008,0.125,0.01715,0.00584,2.92452,25.06,3.10157,0.00120669,0.00120669,0.00120669
9,199.273,1.95853,3.12975,1.9437,0.54633,0.08333,0.05628,0.03027,1.91616,3.7019,1.98794,0.0012005,0.0012005,0.0012005
10,222.447,1.88863,3.0987,1.89992,0.12257,0.22917,0.14958,0.06407,2.00389,4.5814,2.16684,0.00119431,0.00119431,0.00119431
11,244.557,1.95563,3.08594,1.96083,0.38077,0.39583,0.14498,0.04998,1.74784,4.32636,2.07372,0.00118812,0.00118812,0.00118812
12,267.275,1.9172,3.09787,1.85945,0.33022,0.20833,0.18596,0.05591,1.79948,3.45815,2.1211,0.00118194,0.00118194,0.00118194
13,291.169,1.78175,2.79021,1.80942,0.94426,0.08333,0.23312,0.11511,1.79103,2.60997,2.09341,0.00117575,0.00117575,0.00117575
14,313.152,1.70053,2.62167,1.69572,0.16498,0.32961,0.22585,0.11891,1.6222,2.41031,2.06441,0.00116956,0.00116956,0.00116956
15,336.635,1.73376,2.56304,1.69771,0.30807,0.48256,0.31675,0.18185,1.73754,2.87275,2.01006,0.00116337,0.00116337,0.00116337
16,359.53,1.65073,2.46626,1.64547,0.21553,0.41308,0.33522,0.17281,1.74968,2.91421,1.97392,0.00115719,0.00115719,0.00115719
17,380.898,1.7336,2.57258,1.68569,0.26723,0.5082,0.37402,0.2114,1.79713,2.61983,2.16586,0.001151,0.001151,0.001151
18,394.677,1.64907,2.38313,1.63142,0.36091,0.4375,0.34859,0.21462,1.81702,2.70122,2.32261,0.00114481,0.00114481,0.00114481
19,408.184,1.77712,2.58191,1.73993,0.43956,0.4375,0.39471,0.21949,1.92886,2.2946,2.45607,0.00113863,0.00113863,0.00113863
20,421.759,1.58311,2.37715,1.60911,0.26613,0.52083,0.2901,0.1578,1.98462,2.76616,2.40951,0.00113244,0.00113244,0.00113244
21,435.055,1.61019,2.24167,1.60816,0.20061,0.72917,0.42404,0.19424,1.6804,2.17257,1.96446,0.00112625,0.00112625,0.00112625
22,448.719,1.58258,2.24555,1.60039,0.33251,0.45833,0.44059,0.2183,1.69572,2.2646,1.93724,0.00112006,0.00112006,0.00112006
23,462.43,1.64775,2.27385,1.6272,0.36828,0.51055,0.43927,0.24692,1.60248,2.30113,1.92948,0.00111388,0.00111388,0.00111388
24,476.245,1.51533,2.03281,1.53132,0.7792,0.33642,0.41369,0.26129,1.41922,1.94655,1.76285,0.00110769,0.00110769,0.00110769
