epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9007,2.21709,3.33064,2.13052,0.3422,0.25765,0.19317,0.0713,2.22665,4.02644,1.99632,0.0807077,0.000194872,0.000194872
2,95.1856,1.97291,2.65965,1.95056,0.4645,0.36155,0.33255,0.17175,1.79691,2.9292,1.79413,0.0609061,0.000393292,0.000393292
3,143.319,1.94884,2.51888,1.91218,0.37657,0.56128,0.43848,0.21353,1.7987,2.96919,1.82473,0.0411029,0.000590113,0.000590113
4,189.911,1.91268,2.40644,1.92909,0.52098,0.40273,0.38076,0.19869,1.7913,2.6563,1.84752,0.0212982,0.000785333,0.000785333
5,237.972,1.8968,2.3987,1.92416,0.6273,0.403,0.46257,0.21684,1.8367,2.40091,1.86608,0.00149177,0.000978954,0.000978954
6,284.234,1.88003,2.22344,1.88385,0.59534,0.48932,0.50846,0.25348,1.74091,2.19372,1.82117,0.00098,0.00098,0.00098
7,333.276,1.89406,2.15736,1.89698,0.66365,0.4921,0.5591,0.23986,1.99089,1.94756,1.96288,0.000976,0.000976,0.000976
8,382.609,1.81265,2.11743,1.81784,0.56619,0.35862,0.40968,0.20735,1.81539,2.2789,1.77364,0.000972,0.000972,0.000972
9,430.23,1.80274,2.05129,1.83501,0.45268,0.54477,0.49563,0.23696,1.8716,1.93008,1.81716,0.000968,0.000968,0.000968
10,478.776,1.79947,2.05969,1.86434,0.68358,0.5934,0.61038,0.28362,1.76129,1.83485,1.77594,0.000964,0.000964,0.000964
11,526.372,1.79173,1.92898,1.82461,0.58774,0.55074,0.58537,0.28722,1.80621,1.84234,1.79899,0.00096,0.00096,0.00096
12,573.893,1.73425,1.89881,1.77218,0.63973,0.53282,0.58957,0.28706,1.76314,1.76498,1.79959,0.000956,0.000956,0.000956
13,620.77,1.72395,1.85434,1.76577,0.73192,0.54659,0.63996,0.28553,1.83038,1.71521,1.79395,0.000952,0.000952,0.000952
14,668.038,1.69236,1.88524,1.75545,0.66998,0.59735,0.6667,0.32858,1.75711,1.51841,1.77502,0.000948001,0.000948001,0.000948001
15,713.399,1.67329,1.79662,1.73521,0.71798,0.54539,0.67929,0.34232,1.8523,1.52169,1.78029,0.000944001,0.000944001,0.000944001
16,759.326,1.66907,1.76724,1.72533,0.60446,0.636,0.6622,0.34476,1.74156,1.47272,1.70206,0.000940001,0.000940001,0.000940001
17,805.444,1.66605,1.73262,1.70818,0.66352,0.55465,0.61519,0.2836,1.82915,1.53478,1.77141,0.000936001,0.000936001,0.000936001
18,851.215,1.67876,1.69875,1.69737,0.72623,0.60052,0.67445,0.32727,1.75461,1.46827,1.69968,0.000932001,0.000932001,0.000932001
19,897.433,1.61854,1.70057,1.65992,0.62408,0.5562,0.61651,0.28509,1.85075,1.56481,1.70864,0.000928001,0.000928001,0.000928001
20,943.505,1.66339,1.70769,1.68107,0.66259,0.51545,0.60599,0.31544,1.81023,1.54398,1.74411,0.000924001,0.000924001,0.000924001
21,988.028,1.6076,1.65841,1.64615,0.6048,0.57558,0.63909,0.29807,1.9383,1.5604,1.77995,0.000920001,0.000920001,0.000920001
22,1033.59,1.62757,1.69746,1.65727,0.74902,0.53029,0.66093,0.35059,1.72366,1.55531,1.68689,0.000916001,0.000916001,0.000916001
23,1078.25,1.60401,1.6897,1.63968,0.80484,0.53041,0.64643,0.32491,1.81971,1.593,1.68171,0.000912001,0.000912001,0.000912001
24,1122.1,1.63554,1.61879,1.64989,0.65071,0.63002,0.68596,0.34948,1.67627,1.40709,1.66758,0.000908001,0.000908001,0.000908001
25,1169.64,1.57589,1.57551,1.6055,0.65132,0.71451,0.71457,0.35444,1.718,1.42589,1.65625,0.000904001,0.000904001,0.000904001
26,1209.2,1.58565,1.59427,1.62329,0.77839,0.55984,0.67902,0.33638,1.76194,1.38964,1.68923,0.000900001,0.000900001,0.000900001
27,1251.85,1.54132,1.50462,1.58933,0.66076,0.63146,0.70816,0.36881,1.69421,1.36213,1.66511,0.000896001,0.000896001,0.000896001
28,1294.12,1.5927,1.56933,1.61242,0.68374,0.58445,0.67796,0.32739,1.79574,1.44414,1.72978,0.000892001,0.000892001,0.000892001
29,1340.5,1.5399,1.51489,1.59858,0.71141,0.62933,0.70789,0.35574,1.76789,1.40091,1.67697,0.000888001,0.000888001,0.000888001
