epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9934,2.13171,3.35949,2.00591,0.39206,0.22725,0.21341,0.10783,2.04974,3.07853,2.01639,0.000404412,0.000404412,0.000404412
2,88.4098,1.82873,2.43512,1.73721,0.26287,0.28975,0.16325,0.06024,2.35803,4.2957,2.1609,0.000817827,0.000817827,0.000817827
3,131.339,1.84959,2.32948,1.71176,0.26258,0.40236,0.23317,0.10706,2.13461,3.80956,2.1828,0.00122794,0.00122794,0.00122794
4,173.447,1.82578,2.21604,1.74242,0.48664,0.30153,0.28753,0.13404,2.14661,4.62704,2.32207,0.00123515,0.00123515,0.00123515
5,217.381,1.79072,2.1017,1.72421,0.64847,0.32876,0.36747,0.16031,2.27497,3.17276,2.23764,0.0012302,0.0012302,0.0012302
6,260.137,1.81001,2.01812,1.73473,0.46952,0.4145,0.40558,0.19904,2.00821,3.14607,1.89096,0.00122525,0.00122525,0.00122525
7,303.068,1.65689,1.79347,1.61469,0.58281,0.45806,0.47328,0.23389,1.88685,2.66093,1.80691,0.0012203,0.0012203,0.0012203
8,346.996,1.67974,1.88393,1.65543,0.53203,0.49528,0.47169,0.23828,1.93361,2.31549,1.84089,0.00121535,0.00121535,0.00121535
9,390.851,1.62046,1.7025,1.59716,0.70148,0.50762,0.5861,0.2958,1.92068,2.06406,1.89951,0.0012104,0.0012104,0.0012104
10,433.652,1.65134,1.69661,1.62548,0.65157,0.60429,0.59322,0.27302,1.94034,1.91936,1.88501,0.00120545,0.00120545,0.00120545
11,477.405,1.60918,1.62463,1.59482,0.58313,0.53071,0.53046,0.24308,2.09882,2.09192,1.93218,0.0012005,0.0012005,0.0012005
12,521.662,1.58912,1.65006,1.56203,0.5694,0.48222,0.49201,0.25382,1.9491,2.16421,1.85803,0.00119555,0.00119555,0.00119555
13,564.944,1.49304,1.52977,1.50107,0.61725,0.50713,0.56794,0.25013,1.97297,2.01124,1.88215,0.0011906,0.0011906,0.0011906
14,608.526,1.50515,1.5468,1.51659,0.68263,0.50658,0.59193,0.31998,1.625,1.9001,1.62206,0.00118565,0.00118565,0.00118565
15,651.843,1.48986,1.53038,1.52564,0.65002,0.57661,0.64243,0.35768,1.76645,1.96034,1.75278,0.0011807,0.0011807,0.0011807
16,693.843,1.43219,1.47475,1.48803,0.68805,0.60234,0.64897,0.33262,1.84995,2.03883,1.97088,0.00117575,0.00117575,0.00117575
17,736.791,1.38939,1.41864,1.45656,0.82516,0.5592,0.65156,0.32223,1.87755,1.81531,1.86536,0.0011708,0.0011708,0.0011708
18,779.45,1.4614,1.48518,1.4762,0.60589,0.63824,0.65375,0.34407,1.78909,1.7478,1.73006,0.00116585,0.00116585,0.00116585
19,823.963,1.39376,1.35589,1.45698,0.70567,0.61644,0.67139,0.3372,1.8251,1.61518,1.68286,0.0011609,0.0011609,0.0011609
20,867.59,1.40857,1.38725,1.44884,0.7361,0.60885,0.69437,0.37483,1.69645,1.52699,1.61337,0.00115595,0.00115595,0.00115595
21,911.707,1.36681,1.42561,1.44404,0.63795,0.63766,0.64434,0.35388,1.90209,1.77264,1.79277,0.001151,0.001151,0.001151
22,954.788,1.38093,1.4245,1.46096,0.72122,0.56887,0.66061,0.37771,1.83493,1.58515,1.82748,0.00114605,0.00114605,0.00114605
23,999.415,1.38629,1.35612,1.46025,0.71553,0.68746,0.68409,0.37216,1.81605,1.61392,1.77208,0.0011411,0.0011411,0.0011411
24,1043.98,1.34986,1.30779,1.42403,0.59188,0.71625,0.70265,0.39067,1.73693,1.55913,1.65775,0.00113615,0.00113615,0.00113615
25,1089.49,1.36802,1.31527,1.39964,0.6087,0.72433,0.67409,0.37131,1.5692,1.6803,1.56477,0.0011312,0.0011312,0.0011312
26,1132.65,1.32577,1.26023,1.39268,0.77645,0.64083,0.71174,0.3785,1.71157,1.5473,1.65229,0.00112625,0.00112625,0.00112625
27,1176.92,1.29689,1.25438,1.39176,0.66397,0.71418,0.69506,0.3824,1.62083,1.38747,1.66168,0.0011213,0.0011213,0.0011213
28,1221.94,1.36949,1.30474,1.42484,0.72656,0.64036,0.68728,0.3638,1.5282,1.56083,1.57801,0.00111635,0.00111635,0.00111635
29,1266.29,1.2842,1.21783,1.3731,0.7048,0.67236,0.68501,0.40107,1.50206,1.38313,1.53312,0.0011114,0.0011114,0.0011114
30,1310.09,1.26382,1.1491,1.36145,0.72445,0.67245,0.69029,0.39893,1.4984,1.50406,1.5672,0.00110645,0.00110645,0.00110645
31,1354.57,1.27822,1.20342,1.35716,0.72667,0.64705,0.67426,0.37874,1.60397,1.65184,1.58309,0.0011015,0.0011015,0.0011015
32,1399.26,1.2647,1.16755,1.34564,0.74552,0.62753,0.70755,0.40335,1.5773,1.47886,1.57143,0.00109655,0.00109655,0.00109655
33,1444.69,1.23238,1.14542,1.33693,0.70233,0.65043,0.69238,0.3952,1.431,1.40049,1.46449,0.0010916,0.0010916,0.0010916
34,1487.92,1.24598,1.13193,1.3474,0.77427,0.62962,0.67964,0.40074,1.49958,1.44603,1.4661,0.00108665,0.00108665,0.00108665
35,1532.2,1.21917,1.16367,1.34084,0.745,0.66068,0.71088,0.39992,1.4978,1.37282,1.48531,0.0010817,0.0010817,0.0010817
36,1576.51,1.24265,1.14911,1.33143,0.75652,0.62528,0.71154,0.40764,1.58341,1.50807,1.55855,0.00107675,0.00107675,0.00107675
37,1620.58,1.22226,1.13527,1.3221,0.75481,0.66568,0.73236,0.43833,1.56042,1.49963,1.54243,0.0010718,0.0010718,0.0010718
38,1664.56,1.21502,1.108,1.32327,0.73289,0.70306,0.72497,0.41975,1.53433,1.49196,1.52732,0.00106685,0.00106685,0.00106685
39,1708.6,1.1812,1.10152,1.29912,0.76059,0.68403,0.71118,0.42239,1.629,1.46461,1.61711,0.0010619,0.0010619,0.0010619
40,1753.18,1.1713,1.09366,1.30819,0.70262,0.69758,0.72164,0.42202,1.64926,1.47622,1.68031,0.00105695,0.00105695,0.00105695
41,1798.49,1.18525,1.09693,1.31701,0.75814,0.66594,0.73455,0.44587,1.43866,1.2987,1.51993,0.001052,0.001052,0.001052
42,1844.59,1.16381,1.10521,1.28873,0.66137,0.72879,0.72091,0.42108,1.60087,1.29591,1.67049,0.00104705,0.00104705,0.00104705
43,1889.98,1.19687,1.14936,1.32677,0.74282,0.75652,0.75312,0.45681,1.50479,1.37733,1.60843,0.0010421,0.0010421,0.0010421
44,1935.18,1.17874,1.10006,1.31915,0.78482,0.68765,0.74412,0.44575,1.47496,1.36335,1.55655,0.00103715,0.00103715,0.00103715
45,1980.99,1.12647,1.03275,1.27452,0.77565,0.65219,0.75156,0.45589,1.53198,1.30973,1.53883,0.0010322,0.0010322,0.0010322
46,2026.72,1.1821,1.03969,1.29128,0.7459,0.71069,0.75836,0.45845,1.53668,1.31663,1.58669,0.00102725,0.00102725,0.00102725
47,2073.21,1.1132,0.97017,1.25711,0.68888,0.74028,0.75406,0.45331,1.46866,1.35903,1.49155,0.0010223,0.0010223,0.0010223
48,2118.83,1.12443,1.00885,1.26934,0.79971,0.67989,0.7659,0.45896,1.48429,1.33277,1.51933,0.00101735,0.00101735,0.00101735
49,2165.38,1.13614,1.02996,1.28648,0.69317,0.75057,0.73511,0.44888,1.57895,1.40497,1.57152,0.0010124,0.0010124,0.0010124
50,2209.38,1.06708,0.97914,1.24347,0.68901,0.70591,0.72847,0.43038,1.65409,1.67348,1.71662,0.00100745,0.00100745,0.00100745
51,2256.07,1.14474,1.0508,1.29505,0.71204,0.69922,0.72656,0.44601,1.61802,1.53216,1.70178,0.0010025,0.0010025,0.0010025
52,2300.65,1.09633,0.96132,1.23529,0.78673,0.72347,0.75049,0.45796,1.58602,1.56753,1.67196,0.00099755,0.00099755,0.00099755
53,2342.02,1.07781,0.97114,1.24976,0.79047,0.73075,0.78668,0.48193,1.48311,1.25868,1.6205,0.0009926,0.0009926,0.0009926
54,2381.71,1.09436,0.94259,1.24107,0.74136,0.74357,0.76122,0.46759,1.51309,1.34417,1.62351,0.00098765,0.00098765,0.00098765
55,2450.23,1.07796,0.94058,1.2184,0.6894,0.7533,0.72388,0.44931,1.50211,1.46116,1.59886,0.0009827,0.0009827,0.0009827
56,2524.48,1.06844,0.91213,1.22845,0.80349,0.71778,0.77052,0.48222,1.56142,1.40664,1.62089,0.00097775,0.00097775,0.00097775
57,2600.83,1.05257,0.97167,1.23536,0.67486,0.77047,0.73795,0.46254,1.52448,1.32355,1.62876,0.0009728,0.0009728,0.0009728
58,2676.38,1.05543,0.91556,1.23477,0.76004,0.78889,0.7416,0.48435,1.51068,1.38335,1.66472,0.00096785,0.00096785,0.00096785
59,2753.34,1.03001,0.85662,1.21786,0.74437,0.75306,0.74897,0.45084,1.53252,1.32831,1.61972,0.0009629,0.0009629,0.0009629
60,2830.76,1.07317,0.93805,1.24946,0.75331,0.67806,0.76154,0.46055,1.6599,1.42534,1.77002,0.00095795,0.00095795,0.00095795
61,2906.52,1.01252,0.88097,1.21361,0.68903,0.77363,0.7577,0.46431,1.46328,1.33207,1.52488,0.000953,0.000953,0.000953
62,2984.09,1.05387,0.93581,1.23433,0.75211,0.73542,0.74824,0.45189,1.47697,1.28842,1.53115,0.00094805,0.00094805,0.00094805
63,3059.46,1.03525,0.89449,1.21549,0.7924,0.74977,0.79311,0.49436,1.44788,1.18355,1.48219,0.0009431,0.0009431,0.0009431
64,3135.03,1.02161,0.91687,1.20483,0.78124,0.74745,0.78914,0.50074,1.39616,1.13626,1.4765,0.00093815,0.00093815,0.00093815
65,3211.4,1.01975,0.92611,1.22783,0.81435,0.6869,0.74786,0.45124,1.4766,1.37249,1.54255,0.0009332,0.0009332,0.0009332
66,3285.97,1.01636,0.91422,1.21142,0.79239,0.68818,0.74962,0.46753,1.42087,1.35887,1.51843,0.00092825,0.00092825,0.00092825
67,3361.56,0.985,0.89211,1.18921,0.75946,0.75046,0.74596,0.47114,1.46872,1.31797,1.59348,0.0009233,0.0009233,0.0009233
